GeneChip,ProbeSet,ProbeX,ProbeY,PM/MM,PixelX,PixelY,Intensity
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,54,497,PM,601,3718,440
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,54,497,PM,601,3719,460
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,54,497,PM,601,3720,374
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,708,277,PM,5207,2184,1621
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,708,277,PM,5207,2185,1680
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,708,277,PM,5207,2186,1739
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,708,277,PM,5207,2187,1765
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,708,277,PM,5207,2188,1806
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,708,277,PM,5208,2184,2273
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,708,277,PM,5208,2185,2516
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,708,277,PM,5208,2186,2604
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,708,277,PM,5208,2187,2562
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,708,277,PM,5208,2188,2468
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,708,277,PM,5209,2184,2323
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,708,277,PM,5209,2185,2634
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,708,277,PM,5209,2186,2734
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,708,277,PM,5209,2187,2723
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,708,277,PM,5209,2188,2538
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,708,277,PM,5210,2184,2204
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,708,277,PM,5210,2185,2566
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,708,277,PM,5210,2186,2729
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,708,277,PM,5210,2187,2733
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,708,277,PM,5210,2188,2541
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,708,277,PM,5211,2184,1787
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,708,277,PM,5211,2185,2015
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,708,277,PM,5211,2186,2104
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,708,277,PM,5211,2187,2220
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,708,277,PM,5211,2188,2206
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,432,555,PM,3256,4134,696
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,432,555,PM,3256,4135,1320
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,432,555,PM,3256,4136,1545
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,432,555,PM,3256,4137,1643
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,432,555,PM,3256,4138,1619
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,432,555,PM,3257,4134,785
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,432,555,PM,3257,4135,1526
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,432,555,PM,3257,4136,1953
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,432,555,PM,3257,4137,2060
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,432,555,PM,3257,4138,2051
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,432,555,PM,3258,4134,676
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,432,555,PM,3258,4135,1447
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,432,555,PM,3258,4136,1810
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,432,555,PM,3258,4137,1975
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,432,555,PM,3258,4138,2004
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,432,555,PM,3259,4134,580
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,432,555,PM,3259,4135,1257
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,432,555,PM,3259,4136,1592
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,432,555,PM,3259,4137,1762
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,432,555,PM,3259,4138,1886
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,432,555,PM,3260,4134,509
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,432,555,PM,3260,4135,917
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,432,555,PM,3260,4136,1069
